reporting_year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2005,1172422,6815328,267893,1472320,165383,367242,702982
2006,1296197,8311774,276064,1550971,164853,420435,730962
2007,1241437,8505641,279113,1549586,166653,442745,724779
2008,1128764,7866633,272907,1502690,140944,448285,638559
2009,1161051,7164776,259278,1540331,137440,468334,578428
2010,1485975,7810586,276137,1765237,130322,549943,713514
2011,1622405,9111993,312026,1855582,123762,609424,746934
2012,1833402,9428657,305520,2078646,120043,612056,752384
2013,2140471,10947436,332653,2314426,125114,627382,797967
2014,2460723,10505619,349863,2673630,133709,690677,837640
2015,3113143,7793602,370671,2990385,152775,848497,879709
2016,2997650,7698659,195354,3092200,152112,945766,878219
2017,3461099,7582477,220531,3247032,168888,1091522,979933
2018,3838453,6619668,237391,3337648,192853,1261697,1018104
2019,4067958,7063739,255792,3415368,209720,1336662,1118831
2020,435184,1367913,59836,678917,36297,205154,217888
2021,187460,1477934,82683,962526,39725,174513,267435
2022,767857,2610955,216274,2446329,152120,810439,886106
2023,2042682,2987926,260977,2955840,210793,1132536,1036171
